"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 18:06:37 UTC 2026","Sat Jan 03 18:06:38 UTC 2026","665","tests.regression","test_combobox_regression","","","","El usuario puede resgistrarse con combinaciones válidas correctamente","/home/runner/work/Selenium-Pytest-Allure/Selenium-Pytest-Allure/bdd/features/combobox.feature: ComboBox - Enviar formulario con combinaciones válidas"
"passed","Sat Jan 03 18:06:34 UTC 2026","Sat Jan 03 18:06:36 UTC 2026","1252","tests.regression","test_combobox_regression","","","","El usuario puede resgistrarse con combinaciones válidas correctamente","/home/runner/work/Selenium-Pytest-Allure/Selenium-Pytest-Allure/bdd/features/combobox.feature: ComboBox - Enviar formulario con combinaciones válidas"
"passed","Sat Jan 03 18:06:36 UTC 2026","Sat Jan 03 18:06:37 UTC 2026","673","tests.regression","test_combobox_regression","","","","El usuario puede resgistrarse con combinaciones válidas correctamente","/home/runner/work/Selenium-Pytest-Allure/Selenium-Pytest-Allure/bdd/features/combobox.feature: ComboBox - Enviar formulario con combinaciones válidas"
